Geneid	RNA_1196Y_1	RNA_1196Y_2	RNA_1199Y_1	RNA_1199Y_2	1196Y_1	1196Y_2	1199Y_1	1199Y_2
Os01g0163616	0	0	0	0	0	0	0	0
Os01g0164075	0	0	0	0	1	0	0	0
Os01g0164300	0	0	0	0	0	0	0	1
Os01g0164400	509	580	534	509	138	95	96	207
Os01g0164500	214	260	263	240	132	219	231	153
Os01g0164600	1369	1491	1893	1419	197	328	524	210
Os01g0164700	247	271	224	243	101	73	183	96
Os01g0164800	3	6	0	2	0	0	0	24
Os01g0164900	3	7	0	7	0	0	0	0
Os01g0165000	106	102	71	62	16	34	124	9
Os01g0165100	0	0	0	0	0	0	0	0
Os01g0165200	24	20	8	21	0	26	23	0
Os01g0165600	0	0	0	2	0	0	0	0
Os01g0165800	482	424	353	292	17	16	14	41
Os01g0166100	307	272	290	323	261	191	142	120
Os01g0166200	9	6	4	3	0	0	0	0
Os01g0166300	90	57	44	64	8	9	0	0
Os01g0166400	16	20	9	17	0	0	0	0
Os01g0166500	0	0	0	4	0	0	2	0
Os01g0166700	855	859	882	891	228	225	304	337
Os01g0166800	219	284	250	207	0	0	0	6
Os01g0167100	52	47	54	54	12	0	0	0
ENSRNA049471191	0	0	0	0	0	0	0	0
Os01g0167400	60	77	135	117	41	67	48	17
Os01g0167500	384	380	407	597	187	162	449	499
Os01g0167600	25	11	9	3	0	0	0	1
Os01g0167700	52	67	58	62	0	5	72	61
Os01g0167750	21	15	14	13	10	58	127	27
Os01g0167800	108	95	92	71	49	19	41	0
Os01g0167900	29	38	14	8	11	27	14	17
Os01g0168000	0	0	0	0	0	0	0	0
Os01g0168100	888	1072	1013	986	782	880	1317	1334
Os01g0168200	67	100	120	115	7	122	178	32
Os01g0168300	184	232	145	182	89	54	132	75
Os01g0168400	8	10	10	21	0	0	0	0
